1gram,freq1,2gram,freq2,3gram,freq3,4gram,freq4,5gram,freq5,6gram,freq6
sa,91243,toutes les,13111,à peu près,1860,au point de vue,424,mme de grignan a paris,124,mme de grignan a paris vendredi,45
mais,88387,et qui,13047,ce que vous,1857,il y eut un,423,les uns sur les autres,123,d'un bout à l'autre de la,45
a,87468,par la,12722,de la maison,1854,il y a de,416,au bord de la mer,123,ce que je vous ai dit,45
nous,83012,sur les,12639,de m de,1847,le long de la,398,je ne sais quoi de,123,bonaparte au caire le fructidor an,44
comme,81777,je vous,12555,ne sont pas,1839,à la porte de,397,sur le seuil de la,117,-  -  - ,43
avec,81527,y a,12448,au moment où,1823,il y avait des,395,au fur et à mesure,111,au fur et à mesure que,43
si,79171,il se,12438,une sorte de,1801,que tout le monde,391,de la tête aux pieds,109, -  -  -,42
cette,74585,que nous,12112,je n'ai pas,1756,que je vous ai,387,il y en a qui,108,m le comte de la fère,42
ses,74334,et que,11893,de ce que,1749,il n'y a rien,386,je ne sais pas ce,107,caire le messidor an juin ,42
tout,73834,dans un,11869,de la terre,1745,à la tête de,382,de la salle à manger,105,au caire le messidor an juin,42
qu'il,73299,et des,11638,de la ville,1740,il y avait un,381,je ne veux pas que,101,le messidor an juin  au,41
on,73190,le plus,11468,quelque chose de,1711,il n'y a plus,380,le roi et la reine,100,bonaparte au caire le frimaire an,41
avait,68488,à son,11362,il n'y avait,1689,du côté de la,367,le comte de la fère,100,au coin de la rue de,40
me,65737,par le,11099,le jeune homme,1656,de temps à autre,367,bien de la peine à,99,il n'y a rien de plus,40
bien,63519,qui se,11047,que vous avez,1650,de la rue de,363,les uns et les autres,98,mme de grignan a paris mercredi,40
était,62009,et à,10956,de la mer,1642,de la part de,362,les uns contre les autres,97,il y a quelque chose de,39
ces,52956,par les,10734,au milieu des,1641,à la fin de,359,je ne sais pas si,96,il en est de même de,39
sans,50380,qui ne,10518,la première fois,1620,au moment où il,347,au milieu de la nuit,95,je n'ai pas besoin de vous,38
ou,50217,n'est pas,10469,il est vrai,1616,tout ce qui est,345,il y a longtemps que,95,thermidor an août  au général,38
c'est,49996,m de,10297,pour ne pas,1614,de mme de sévigné,343,à la fin de la,95,il y eut un moment de,37
leur,49250,un peu,10072,je ne suis,1610,tout ce que vous,340,il y eut un silence,95,ce qu'il y a de mieux,37
dit,46492,je me,10021,à la porte,1591,il n'y avait plus,339,de ce qui se passait,95,il y a longtemps que je,36
y,46302,dans une,9963,au fond de,1567,au bord de la,339,il y a quelques années,94,sur le bord de la mer,36
aux,45896,et je,9911,le comte de,1528,que je viens de,338,note enquête t ii p,94,tout ce qu'il y avait de,36
où,45600,je suis,9625,et à la,1514,il y en avait,335,pour la première fois de,93,le thermidor an juillet  au,36
d'un,44158,il avait,9573,à la main,1513,à cause de la,333,je ne crois pas que,92,au-dessus du niveau de la mer,35
deux,43739,pas de,9534,n'y a pas,1504,il y avait une,327,pour ce qui est de,90,caire le frimaire an décembre ,34
mon,43086,pour la,9423,deux ou trois,1486,ce qui se passait,326,il y a plus de,89,au caire le frimaire an décembre,34
fait,41598,il était,9067,que je suis,1486,sur le point de,325,il ne faut pas que,89,le floréal an mai  au,34
ils,40843,les plus,9044,que nous avons,1465,je ne crois pas,325,sur les bords de la,88,ce qui venait de se passer,34
même,40353,il faut,8834,la jeune fille,1461,fo  p l,322,la porte de la chambre,87,la plus grande partie de la,33
sont,38637,de leur,8706,je me suis,1459,de la jeune fille,318,de la façon la plus,87,mme de grignan aux rochers dimanche,33
faire,38280,pour le,8690,il faut que,1458,bonaparte au caire le,312,je n'ai pas besoin de,86,le à la pointe du jour,33
d'une,37638,que de,8662,de la nature,1457,qui ne sont pas,311,point de vue de la,86,caire le fructidor an août ,33
tous,35698,de lui,8612,un peu de,1443,un grand nombre de,306,les uns après les autres,86,à  à  à ,33
encore,32861,la vie,8594,tous les jours,1417,ce que c'est que,305,il y a de la,85,au caire le fructidor an août,33
dont,32827,qui est,8495,y a des,1414,il n'y a point,305,la maîtresse de la maison,85,je ne veux pas que tu,32
ma,30095,la tête,8355,et que je,1375,et se mit à,305,à la pointe du jour,84,note app  note app ,32
qu'elle,29310,ne se,8312,au bout de,1372,il y a deux,305,à partir de ce moment,83,le frimaire an décembre  au,32
quand,28949,de se,8307,à cause de,1369,de tout le monde,302,il n'y a que les,82,state paper office colonial papers vol,31
m,28488,tout ce,8285,il y en,1368,que ce n'est pas,297,ce que je viens de,81,- - - - - -,31
leurs,27968,plus de,8249,à tous les,1340,quoi qu'il en soit,291,ce qui se passait dans,81, bonaparte général en chef ordonne,31
fut,27598,à un,8173,et je ne,1335,la fin de la,287,y a des gens qui,80,à moins que ce ne soit,31
peu,27173,les deux,8162,de ceux qui,1331,mme de sévigné a,285,qu'il n'y a pas de,79,tout ce que vous me dites,31
point,27072,comme un,8102,je ne puis,1330,ce que je vous,285,il n'y en a pas,79,bien le cas de le dire,31
aussi,26847,mais il,8044,le temps de,1328,de ce que je,284,ce que je vous ai,79,ce qu'il y a de certain,31
qu'on,26019,pour les,7997,un de ces,1307,que je ne suis,281,au caire le thermidor an,78,dans les bras l'un de l'autre,30
moi,25527,à ce,7819,le duc de,1304,elle se mit à,280,et il se mit à,78,le fructidor an août  au,30
été,25002,avec une,7803,je ne me,1301,au milieu de ces,279,il n'y a pas un,77,c'est bien le cas de le,30
sous,24451,on ne,7694,ce que nous,1282,la plus grande partie,278,il y a quelque chose,77,il en est de même des,30
rien,24314,les autres,7689,la mort de,1273,il y a dans,277,bonaparte au caire le thermidor,77,et la suite comme l ,30
être,23589,tout le,7645,à ce que,1273,à tout le monde,276,le thermidor an août ,77,qu'il y a de certain c'est,30
toutes,23389,la plus,7553,que je me,1271,il y avait dans,276,je ne suis pas un,76,le messidor an juillet  au,29
cela,22579,que ce,7531,je vous ai,1270,à la suite de,274,il faut que je vous,76,il n'en est pas moins vrai,29
temps,22311,à une,7392,il n'est pas,1248,que je n'ai pas,274,sur la pointe des pieds,76,mss b fo ms b fo,29
,22248,à sa,7391,la porte de,1246,n'y a point de,271,il y a peu de,75,y eut un moment de silence,28
car,21997,et se,7295,à son tour,1235,la rue de la,270,ne sais pas ce que,75,de mme de sévigné a m,28
après,21733,dans son,7257,de plus en,1232,le reste de la,269,ce que vous me dites,74,de l'autre côté de la rue,28
homme,21715,la main,7254,de la france,1228,dans la chambre de,264,à la surface de la,73,vous ne savez pas ce que,28
toute,21708,et en,7221,je ne vous,1225,que je ne puis,262,mais il ne faut pas,73,il y a des jours où,28
donc,21404,la porte,7178,je ne veux,1200,entre les mains de,260,tout ce qu'il y avait,73, à  à  à,27
puis,21182,le roi,7124,il ne faut,1198,je vous prie de,260,ce que c'est que la,71,est par la hauteur de degrez,27
femme,20741,tout à,7049,dans la chambre,1197,on ne peut pas,256,pas eu le temps de,70,de la raison et de la,27
toujours,20503,ceux qui,7048,de la cour,1195,eu le temps de,256,il n'y a pas à,70,il en est de même pour,27
tu,20443,il n'y,7035,plus en plus,1193,deux ou trois fois,255,d'un bout à l'autre de,70,tout le long de la route,27
là,20336,où il,7034,de ce qui,1189,a mme de grignan,255,ce ne sont pas les,70,ce que je viens de dire,27
j'ai,20249,au milieu,6965,tout ce qu'il,1181,au milieu de cette,255,la liberté de la presse,70,à droite et à gauche de,27
jamais,19897,par un,6956,tout à l'heure,1175,je ne sais quoi,254,je ne vous ai pas,69,mme de sévigné a m de,27
grand,19875,dans sa,6826,la fin de,1153,mille livres de rente,254,dans un coin de la,68,ce n'est pas une raison pour,27
ont,19716,ce qu'il,6801,il y eut,1150,de sévigné a mme,254,il y eut un moment,68,à la surface de la mer,26
moins,19682,les yeux,6782,que vous ne,1142,sévigné a mme de,254,il y en a de,68,je ne veux pas que vous,26
n'est,19653,le monde,6741,plus ou moins,1140,de la vie de,253,à la tête de la,68,ce que je viens de vous,26
quelque,19549,de plus,6671,ce n'était pas,1135,de la maison de,251,la première fois de sa,68,le premier consul bonaparte paris le,26
ainsi,19230,il a,6627,milieu de la,1135,tout ce qu'il y,250,il y en a une,67,il n'y a pas de danger,26
votre,19044,de leurs,6477,dans le monde,1125,je ne peux pas,250,de l'un et de l'autre,67,ce que je vais vous dire,26
fois,18855,elle se,6422,de la mort,1118,ce qu'il y avait,249,de droite et de gauche,67,mme de grignan aux rochers mercredi,26
dire,18247,avec un,6350,de sa vie,1107,nous ne sommes pas,248,pas de temps à perdre,66,de la science et de la,25
avoir,18211,de mon,6279,y en a,1104,mais il y a,248,de temps en temps un,66,par le trou de la serrure,25
vie,18155,un homme,6264,ne suis pas,1089,tout à coup il,248,si je ne me trompe,66,germinal an avril  au général,25
non,17868,ce n'est,6113,ce qui se,1087,ce qui se passe,246,que je ne veux pas,66,il y en a d'autres qui,24
jour,17839,elle ne,6101,pour la première,1072,de la ville de,245,première fois de sa vie,66,note à la fin du volume,24
voir,17609,ne pas,6054,il me semble,1068,mais ce n'est pas,245,et la suite comme l,66,n'en est pas moins vrai que,24
chez,17428,sans doute,5971,dans tous les,1065,et en même temps,244,des pieds à la tête,65,il n'y a rien de si,24
trois,17418,y avait,5943,la plus grande,1064,il y avait là,244,que je vous ai dit,65,ce que je sais c'est que,24
cet,17167,la première,5938,à la fin,1063,de la peine à,243,tout ce que je puis,65,de la vie et de la,23
ni,17152,à cette,5916,mais il ne,1052,la femme de chambre,242,pour la première fois depuis,64,de mme de sévigné au comte,23
entre,17002,de faire,5916,de tout ce,1050,il est certain que,242,sous le point de vue,64,la plus belle et la plus,23
c'était,16820,de vous,5888,à la tête,1036,et que je ne,242,il y a beaucoup de,64,de la colonie française en canada,23
mes,16638,que l'on,5854,le plus grand,1030,où il y avait,240,je ne me suis pas,63,mme de grignan a paris lundi,23
quelques,16584,qui lui,5814,à côté de,1026,il n'y en a,240,mme de grignan aux rochers,63,de sévigné au comte de bussy,23
autres,16539,de ne,5677,y a de,1025,à la fin du,237,a mme de grignan aux,63,toulon le floréal an mai ,23
yeux,16530,par une,5655,un coup de,1020,se mit à rire,237,il n'en est pas de,63,la note de la page ,23
fit,16366,vous avez,5642,de la guerre,1018,de l'autre côté de,236,bonaparte au caire le messidor,62,sur les bords de la mer,23
alors,16313,la nuit,5641,le droit de,1010,au bout de quelques,236,le seuil de la porte,62,bonaparte toulon le floréal an mai,23
monde,16165,la mort,5612,point de vue,1010,je ne sais quel,231,il n'y a rien à,62,et ce qu'il y a de,23
&,16104,de tous,5591,ne faut pas,1008,ce n'est pas la,227,au caire le messidor an,62,mme de sévigné au comte de,23
madame,16075,quelque chose,5588,sur la terre,1004,de tout ce que,227,y a quelque chose de,62,malte le prairial an juin ,23
fort,15780,la terre,5519,de mme de,1002,dans la salle à,227,le germinal an avril ,62,qu'il vous ait en sa sainte,23
qu'ils,15741,la maison,5460,de la nuit,998,le champ de bataille,226,il n'y avait plus de,61,pour ce qui est de la,23
monsieur,15713,dans cette,5459,on ne peut,982,tout ce qui se,225,pas le moins du monde,61,vous embrasse de tout mon cœur,22
suis,15689,de le,5452,une de ces,971,je ne sais si,225,ce n'est pas ma faute,60,je ne sais plus ce que,22
l'on,15603,en effet,5431,à toutes les,965,de ce qui se,222,au bout de la rue,60,bonaparte général en chef ordonne art,22
peut,15416,et si,5398,la plupart des,963,de la même manière,219,tout ce que vous voudrez,60,que je viens de vous dire,22
vers,15256,toute la,5391,à travers les,962,droite et à gauche,219,ce qui se passe dans,60,de la justice et de la,22
hommes,15249,de ma,5327,de la reine,962,d'un bout à l'autre,218,en même temps que le,60,tout ce que je viens de,22
roi,15239,qu'il ne,5326,de son père,961,au moment où le,217,le floréal an mai ,60,au quartier-général à passeriano le vendémiaire,22
autre,15216,à ses,5321,que ce soit,961,au bout de la,217,et elle se mit à,59,la note à la fin du,22
étaient,15176,de tout,5313,du côté de,961,il y a quelques,215,il y avait de la,59,quartier-général à passeriano le vendémiaire an,22
chose,15055,comme une,5219,que les autres,960,quelque chose de plus,215,de la grande armée le,59,de à  de à ,22
tant,15042,le comte,5167,un homme qui,958,tout à la fois,215,la surface de la terre,59,le brumaire an novembre  au,22
jeune,14978,elle avait,5150,la jeune femme,953,il n'en est pas,213,bonaparte paris le germinal an,59,à la tombée de la nuit,22
trop,14691,dans ce,5143,ce qu'il y,948,de la mort de,213,au bout d'un quart d'heure,59,tout ce que je puis vous,22
contre,14690,avec la,5139,mais je ne,947,les uns des autres,212,tout le long de la,59,le duc et la duchesse de,21
grande,14647,et ne,5101,la tête de,947,à la vue de,211,les armes à la main,59,sévigné au comte de bussy a,21
faut,14601,avec le,5090,il ne se,944,ne put s'empêcher de,211,à cinq heures du matin,59,ce n'est pas la peine de,21
devant,14601,quand il,5073,ne sais pas,941,je ne sais quelle,211,il n'y en a point,59,de son père et de sa,21
notre,14492,le premier,5068,de la grande,933,je ne dis pas,211,fut sur le point de,58,au quartier-général à milan le brumaire,21
depuis,14308,pas à,5035,de la chambre,930,de la vie et,210,qu'il n'y a point de,58,à la porte de la chambre,21
dieu,14056,peu de,5027,ne veux pas,923,et il y avait,210,thermidor an août  au,58,du ciel et de la terre,21
n'y,14030,a été,4999,heures du matin,921,au coin de la,210,cent mille livres de rente,58,n'avait pas eu le temps de,21
tête,13794,qui a,4995,de temps en,920,vous ne savez pas,210,an août  au général,58,pas encore eu le temps de,21
très,13569,ne me,4992,de la porte,916,la première fois que,210,la première fois que je,58,mss b fo vo ms b,21
nos,13531,avec les,4978,dans la salle,910,sur le bord de,210,il y a bien des,57,bonaparte au caire le pluviose an,21
soit,12849,point de,4970,la vie de,906,à droite et à,209,il n'en est pas moins,57,il n'y a pas moyen de,21
pendant,12838,nous avons,4963,qu'il y avait,906,à la porte du,207,en même temps que la,57,thermidor an juillet  au général,21
moment,12828,du monde,4960,dans la rue,903,ce que vous avez,206,le long de la route,57, de à  de à,21
père,12716,je le,4938,un peu plus,902,ce ne sont pas,205,il n'y a que des,57,la porte de la salle à,21
elles,12599,et elle,4913,dans la maison,897,pas tout à fait,205,le maître de la maison,57,vers la fin du mois de,21
main,12499,ne peut,4912,temps en temps,897,il en est de,205,toutes les peines du monde,57,n'ai pas besoin de vous dire,20
l'autre,12406,comme il,4885,je crois que,886,au fond de son,204,que je viens de vous,56,son père et de sa mère,20
ceux,12403,qu'il avait,4840,que nous ne,883,et de tous les,204,il n'y avait pas à,56,fructidor an août  au général,20
fille,12385,n'y a,4827,pour ainsi dire,880,la mort de son,203,et de temps en temps,56,mais ce que je sais c'est,20
bon,12307,par des,4821,à la cour,874,de la grande armée,202,note enquête t i p,56,à la porte de la maison,20
enfin,12285,de m,4820,et il ne,874,ce n'est pas un,202,pour la première fois et,56,de l'homme et de la femme,20
mort,12194,les hommes,4804,de la société,870,m le comte de,201,je ne sais ce que,56,ce n'était pas la première fois,20
petit,12113,il me,4792,et il se,868,je ne vois pas,200,il me semble que vous,56,la chose du monde la plus,20
jours,12086,le temps,4780,sur la table,862,que je ne me,199,comme si elle eût été,55,il ne faut pas croire que,20
porte,12040,sur un,4774,et qui ne,859,au milieu de ses,199,il ne s'agit pas de,55,paper office colonial papers vol vi,20
assez,11948,bien que,4718,côté de la,853,il y a là,199,il y en a un,55,le plus beau et le plus,20
mille,11634,qu'il y,4697,autour de lui,851,il y a eu,199,les unes sur les autres,55,quartier-général à milan le brumaire an,20
paris,11561,plus que,4691,que vous êtes,842,y a de plus,197,le père et la mère,55,je ne sais ce que je,20
terre,11539,de toutes,4683,de madame de,840,qu'il n'y a pas,196,de ce qui se passe,55,à passeriano le fructidor an septembre,20
avaient,11451,tant de,4680,de la même,835,le valet de chambre,196,la porte de la salle,55,à sa droite et à sa,20
s'il,11398,je n'ai,4676,de sa femme,833,sur le seuil de,195,il y en a d'autres,55,ne demande pas mieux que de,20
déjà,11296,dans ses,4676,et je me,833,ce que nous avons,195,ce ne fut pas sans,55,a mme de grignan a livry,20
nom,11140,vous êtes,4658,dans toutes les,829,il y a bien,194,au milieu de la foule,55,bonaparte au quartier-général à milan le,20
celui,10742,vous ne,4650,la main de,828,une partie de la,194,que je viens de dire,55,sa droite et à sa gauche,20
coup,10647,n'était pas,4638,ne peut pas,826,ce n'est pas une,193,caire le thermidor an août,55,la rochefoucauld à mme de sablé,20
mère,10596,elle est,4624,et que le,826,tout le monde et,193,de temps en temps il,54,voyez la note à la fin,20
voix,10588,et dans,4623,de la femme,823,avec une sorte de,192,son père et sa mère,54,général en chef ordonne art er,20
beaucoup,10533,sous le,4600,la maison de,813,ce qui s'était passé,192,de tout ce qui est,54,le lendemain au point du jour,20
ans,10507,madame de,4598,où il y,809,coin de la rue,192,cyrus smith et ses compagnons,54,il y en a une autre,20
avant,10343,et pour,4590,la force de,809,de la jeune femme,192,la mère et la fille,54,de la tête aux pieds et,19
maison,10281,et du,4580,qui ne se,808,ne tarda pas à,190,je ne suis pas de,54,il me semble que je suis,19
choses,10266,dit le,4574,y a un,807,et il y a,190,il n'y avait plus que,53,lettre de la rochefoucauld à mme,19
gens,10250,si vous,4572,au milieu du,806,n'y a rien de,189,à six heures du matin,53,quartier-général à passeriano le fructidor an,19
seul,10238,elle était,4552,de son côté,804,de jour en jour,189,je ne puis m'empêcher de,53,vers le milieu de la nuit,19
peut-être,10221,qui avait,4534,de la main,801,toutes les fois que,189,germinal an avril  au,53,porte de la salle à manger,19
premier,10204,la ville,4511,près de la,798,de ce que vous,187,la porte de la maison,53,messidor an juillet  au général,19
seulement,10188,en ce,4505,que je lui,798,point de vue de,187,mais je ne veux pas,53,au comte de bussy a paris,19
heures,10175,la rue,4492,de la famille,794,de la terre et,187,la belle aux cheveux d'or,53,se jeta dans les bras de,19
près,10141,il lui,4478,à ceux qui,794,trois cent mille francs,187,les peines du monde à,53,à moins que ce ne fût,19
note,10092,la mer,4472,dans sa chambre,792,à la place de,186,il y a des moments,53,ce que vous me dites là,19
celle,10033,que j'ai,4461,et que la,789,un certain nombre de,186,n'en est pas de même,52,la première fois de ma vie,19
corps,9874,pour lui,4455,tout de même,787,il y avait de,186,la porte de la rue,52,au quartier-général à passeriano le fructidor,19
s'en,9853,dont il,4434,ce sont des,786,que je me suis,186,connu sous le nom de,52,milan le brumaire an novembre ,19
femmes,9829,la même,4428,et que les,783,il est probable que,186,que je ne connais pas,52,farce nouvelle très bonne et fort,19
france,9800,que tu,4422,que tous les,780,en face de la,185,du côté de la rue,52,il n'y a pas de raison,19
petite,9791,un grand,4418,à m de,780,je vous ai dit,185,à moins que ce ne,52,le plus grand de tous les,19
n'en,9759,et par,4387,que le roi,779,de la ville et,184,le messidor an juin ,52,ne répondit pas tout de suite,19
eu,9750,la nature,4380,ce sont les,776,fo vo p l,184,vers le milieu de la,52,à  de à  de,19
mme,9705,un jour,4376,et de ses,775,il y a trois,184,il va sans dire que,52,il y eut un moment où,19
mieux,9680,et un,4340,que vous me,774,sur le champ de,183,avec le plus grand soin,52,se promenait de long en large,19
personne,9579,la reine,4334,la ville de,772,sur la route de,183,était sur le point de,52,il n'y a pas de temps,19
pouvait,9557,près de,4323,le reste de,770,l'autre côté de la,182,n'y a rien de plus,51,à milan le brumaire an novembre,19
qu'un,9554,ne pouvait,4318,de la république,768,il est impossible de,182,à l'autre bout de la,51,caire le messidor an juillet ,19
eût,9483,ne le,4292,la tête et,767,je vous en prie,182,le prairial an juin ,51,de la rue de la chanvrerie,18
cependant,9418,il en,4268,dans la vie,763,comme si elle eût,182, -  - ,51,les plus belles et les plus,18
faisait,9386,entre les,4230,en face de,761,tout ce que nous,180,du roi et de la,51,je ne crois pas qu'il y,18
n'a,9291,parce que,4226,de sa mère,754,de la rue du,180,note pages - vers -,51,je ne sais pas si vous,18
répondit,9251,à se,4201,sous le nom,753,mme de grignan a,179,ce ne sont pas des,51,dans la poche de son gilet,18
mal,9251,qui le,4174,je vous en,751,bord de la mer,179,après un moment de silence,51,de la foy t i p,18
te,9229,jeune homme,4160,y a une,750,ce que je ne,178,de la part de la,51,eut toutes les peines du monde,18
voilà,9137,mais je,4145,la duchesse de,746,me semble que je,177,il y avait là une,51,mais il n'en est pas moins,18
peine,9135,la cour,4142,de la science,745,pour ce qui est,177,je ne pus m'empêcher de,51,b fo ms b fo lacune,18
bonne,9118,pas un,4140,cent mille francs,745,que je ne vous,177,le bien et le mal,50,pour ne pas avoir l'air de,18
chaque,9080,à des,4112,il en est,745,dans les bras de,176,que je ne connaissais pas,50,la plus grande partie de son,18
nuit,9021,à paris,4106,une partie de,743,il y a plus,176,- - - - -,50,établiss de la foy t i,18
n'avait,8989,que des,4106,une espèce de,743,à ce que je,176,ce que vous avez fait,50,de toute la vitesse de ses,18
n'était,8946,et comme,4090,au point de,741,ce qui n'est pas,175,le brumaire an novembre ,50,de mieux à faire que de,18
quatre,8938,tandis que,4088,je ne le,740,ce ne fut pas,175,il y a quelques jours,50,ne sais pas ce que je,18
eut,8910,ce fut,4085,tout d'un coup,738,en même temps il,175,le frimaire an décembre ,50,y a de certain c'est que,18
lieu,8901,de nos,4084,et dans les,736,le moins du monde,174,à neuf heures du matin,50,dessin de taylor d'après une photographie,18
presque,8750,qui était,4078,et de sa,733,je ne sais plus,174,il n'y a plus que,50,au caire le messidor an juillet,18
donner,8730,pas le,4051,le roi de,732,n'y avait pas de,173,qu'il y avait de plus,50,ne crois pas qu'il y ait,18
côté,8701,mme de,4049,trois ou quatre,731,en est de même,171,y a des moments où,49,il fut sur le point de,18
ici,8684,dont les,4035,de la part,724,qu'il y a des,171,la surface de la mer,49,il n'y avait pas moyen de,18
milieu,8641,ne vous,3992,que je n'ai,723,à la main et,171,au bout de quelque temps,49,où il n'y a pas de,18
serait,8633,à faire,3991,la rue de,722,au milieu de ce,171,bonaparte au quartier-général à passeriano,49,hist du canada p  note,18
chambre,8583,à peu,3959,me semble que,711,après la mort de,170,le signe de la croix,49,entre la vie et la mort,18
souvent,8538,au fond,3949,fond de la,706,le jour de la,170,au quartier-général à passeriano le,49,nouvelle très bonne et fort joyeuse,18
fils,8526,avait été,3944,et le plus,706,de ce que nous,168,au bout de quelques minutes,49,le prairial an juin  au,18
mains,8504,de me,3934,que de la,703,à côté de la,167,coin de la rue de,49,il y avait quelque chose de,18
jusqu'à,8496,qui les,3928,ce que j'ai,701,que ce n'était pas,167,il est vrai que le,49,ce qui est certain c'est que,18
ça,8481,la femme,3928,entre les deux,701,les uns aux autres,165,de tout ce que je,49,je vous demande la permission de,18
parce,8427,après avoir,3925,m de la,698,plus grande partie de,165,m le comte de la,49,dans l'état actuel de la science,18
s'était,8414,et lui,3923,la fin du,695,m le duc de,165,paris le germinal an avril,49,passa la main sur son front,18
d'être,8403,ou de,3909,tous ceux qui,693,qu'il y avait de,165,-  -  -,48,b fo vo ms b fo,18
vu,8391,dont la,3897,de la liberté,693,et ce n'est pas,164,pour la première fois dans,48,il ne sera pas dit que,17
pays,8358,de notre,3889,partie de la,692,pas le temps de,164,au bout de quelques jours,48,ce qui se passait autour de,17
prendre,8332,si je,3886,à cette époque,692,le bord de la,163,le roman de la rose,48,- - - - - ,17
eux,8266,et ses,3883,il ne pouvait,690,avec la plus grande,163,en même temps que les,48,mais il n'y a pas de,17
ville,8264,que pour,3873,n'y avait pas,688,le roi de france,161,la mort de son père,48,coin de la rue de la,17
première,8229,que dans,3865,ne fut pas,688,au nom de la,161,il y a deux ans,48,prem établiss de la foy t,17
doute,8200,c'est un,3861,un homme de,686,en dehors de la,160,de ce qui s'était passé,48,sur la rive gauche de la,17
place,8198,avec des,3860,et de son,683,dans le cas où,160,je ne crois pas qu'il,48,la différence qu'il y a entre,17
qu'à,8192,le nom,3860,je viens de,682,la peine de mort,160,ce n'est pas moi qui,48,caire le thermidor an juillet ,17
reste,8174,la france,3844,de ce qu'il,680,la surface de la,159,à quatre heures du matin,48,de la liberté de la presse,17
bras,8077,nous ne,3833,si je ne,680,il y eut une,158,il est vrai que les,48,vous ait en sa sainte garde,17
général,8064,sa femme,3825,je vous prie,679,vers la fin de,158,mais il me semble que,48,le nivose an janvier  au,17
coeur,8056,du roi,3809,m de charlus,679,au pied de la,158,de tout ce qui se,48,à la surface de la terre,17
belle,7975,nom de,3803,rien de plus,678,ni l'un ni l'autre,158,si je ne suis pas,47,de la rochefoucauld à mme de,17
plusieurs,7938,à peine,3794,le long de,677,à tout ce qui,157,ce que je vous dis,47,note voir p note  note,17
comment,7924,qui me,3793,et je vous,676,je ne puis pas,157,au caire le fructidor an,47,du jour et de la nuit,17
